"aclass","meanval","frommodel","var"
1,0.392969984202212,100,"nTrans"
2,0.358974358974359,100,"nTrans"
1,0.39316534345875,101,"nTrans"
2,0.351841671247938,101,"nTrans"
1,0.396379044684129,102,"nTrans"
2,0.35377358490566,102,"nTrans"
1,0.38346077598414,103,"nTrans"
2,0.358649789029536,103,"nTrans"
1,0.450222882615156,104,"nTrans"
2,0.365075439030423,104,"nTrans"
1,0.38233024691358,105,"nTrans"
2,0.370998116760829,105,"nTrans"
1,0.403491271820449,106,"nTrans"
2,0.357801549243821,106,"nTrans"
1,0.398615232443126,107,"nTrans"
2,0.338680926916221,107,"nTrans"
1,0.404698344901228,108,"nTrans"
2,0.359127682026029,108,"nTrans"
1,0.393081761006289,109,"nTrans"
2,0.366452991452991,109,"nTrans"
1,0.377848101265823,110,"nTrans"
2,0.376913265306122,110,"nTrans"
1,0.393333333333333,111,"nTrans"
2,0.314699792960663,111,"nTrans"
1,0.391034482758621,112,"nTrans"
2,0.37109614206981,112,"nTrans"
1,0.390235335440815,113,"nTrans"
2,0.35741037988229,113,"nTrans"
1,0.390361445783133,114,"nTrans"
2,0.356156819436775,114,"nTrans"
1,0.386091127098321,115,"nTrans"
2,0.372375328083989,115,"nTrans"
1,0.391465677179963,116,"nTrans"
2,0.358238495794161,116,"nTrans"
1,0.415211970074813,117,"nTrans"
2,0.369443025038324,117,"nTrans"
1,0.402668491276086,118,"nTrans"
2,0.335750139431121,118,"nTrans"
1,0.440217391304348,119,"nTrans"
2,0.365577889447236,119,"nTrans"
1,0.387989203778677,120,"nTrans"
2,0.359018264840183,120,"nTrans"
1,0.391752577319588,121,"nTrans"
2,0.359084406294707,121,"nTrans"
1,0.378345498783455,122,"nTrans"
2,0.376,122,"nTrans"
1,0.383116883116883,123,"nTrans"
2,0.373924553275976,123,"nTrans"
1,0.377065853038393,124,"nTrans"
2,0.378033205619413,124,"nTrans"
1,0.412660637791528,125,"nTrans"
2,0.348757170172084,125,"nTrans"
1,0.387860082304527,126,"nTrans"
2,0.36,126,"nTrans"
1,0.450222882615156,127,"nTrans"
2,0.365075439030423,127,"nTrans"
1,0.389728096676737,128,"nTrans"
2,0.361218568665377,128,"nTrans"
1,0.449404761904762,129,"nTrans"
2,0.365232443125618,129,"nTrans"
1,0.384650317892825,130,"nTrans"
2,0.370723945902943,130,"nTrans"
1,0.391391794046661,131,"nTrans"
2,0.361434977578475,131,"nTrans"
1,0.440107671601615,132,"nTrans"
2,0.365466901585703,132,"nTrans"
1,0.388944388944389,133,"nTrans"
2,0.356684179801518,133,"nTrans"
1,0.395061728395062,134,"nTrans"
2,0.362835249042146,134,"nTrans"
1,0.402521008403361,135,"nTrans"
2,0.351455479452055,135,"nTrans"
1,0.436795994993742,136,"nTrans"
2,0.365075312739341,136,"nTrans"
1,0.384030418250951,137,"nTrans"
2,0.352998065764023,137,"nTrans"
1,0.386629910406616,138,"nTrans"
2,0.362183020948181,138,"nTrans"
1,0.417149478563152,139,"nTrans"
2,0.368284453672463,139,"nTrans"
1,0.403770276194651,140,"nTrans"
2,0.352361396303901,140,"nTrans"
1,0.393683023124647,141,"nTrans"
2,0.367312266394835,141,"nTrans"
1,0.386299435028249,142,"nTrans"
2,0.373333333333333,142,"nTrans"
1,0.414478353442158,143,"nTrans"
2,0.361354702146961,143,"nTrans"
1,0.414715719063545,144,"nTrans"
2,0.368421052631579,144,"nTrans"
1,0.420560747663551,145,"nTrans"
2,0.367616580310881,145,"nTrans"
1,0.397988505747126,146,"nTrans"
2,0.368531889290012,146,"nTrans"
1,0.390208434318953,147,"nTrans"
2,0.367131549189597,147,"nTrans"
1,0.450222882615156,148,"nTrans"
2,0.365075439030423,148,"nTrans"
1,0.392078326657766,149,"nTrans"
2,0.363710004050223,149,"nTrans"
1,0.397201291711518,150,"nTrans"
2,0.372326379720095,150,"nTrans"
1,0.423717521652232,151,"nTrans"
2,0.35552099533437,151,"nTrans"
1,0.430327868852459,152,"nTrans"
2,0.367469879518072,152,"nTrans"
1,0.418952618453865,153,"nTrans"
2,0.368676545733265,153,"nTrans"
1,0.416978776529338,154,"nTrans"
2,0.369093231162197,154,"nTrans"
1,0.403552047360631,155,"nTrans"
2,0.357381926366679,155,"nTrans"
1,0.385874246339363,156,"nTrans"
2,0.368838763575606,156,"nTrans"
1,0.376768428890544,157,"nTrans"
2,0.377408834865105,157,"nTrans"
1,0.405436013590034,158,"nTrans"
2,0.360338983050847,158,"nTrans"
1,0.386870897155361,159,"nTrans"
2,0.368161250514192,159,"nTrans"
1,0.394862604540024,160,"nTrans"
2,0.33406432748538,160,"nTrans"
1,0.396962025316456,161,"nTrans"
