realDep,routes,match,nTrans,wk,iv,wt,nwk,tiv,id,ntiv,aux,ov,tt,cost,tway,summer,realtime,HHcomp,oppo,male,female,white,visitor,engflu,age,income,disability,nonbinary,duration,dayofweek_Friday,dayofweek_Saturday,dayofweek_Sunday,dayofweek_Weekday,plan_couldhave,plan_known,plan_nonweb,plan_web,access_bike,access_drive,access_walk,egress_bike,egress_drive,egress_walk,worktype_fullO,worktype_fullT,worktype_partialT,worktype_unemp,worktype_unfixed,stu_K12,stu_full,stu_no,stu_part,choicerider_choicerider,choicerider_dependent,choicerider_potentially,purpose_HBEd,purpose_HBO,purpose_HBSh,purpose_HBSo,purpose_HBW,purpose_NHB
844.0,902,0.0,0.0,12.0,-2.0,6.0,0.0,2.0,176,0.0,12.0,18.0,20.0,20.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,0.0,0.0,0,0.9516159327569993,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
847.0,122,1.0,0.0,9.0,-5.0,6.0,0.0,0.0,178,5.0,9.0,15.0,20.0,20.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,7.5,0.0,0,-0.8966993497270173,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
845.0,902,0.0,0.0,9.0,-2.0,6.0,0.0,2.0,178,0.0,9.0,15.0,17.0,17.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,7.5,0.0,0,-0.8966993497270173,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
835.0,122,1.0,0.0,7.0,-5.0,6.0,0.0,0.0,179,5.0,7.0,13.0,18.0,18.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,7.5,1.0,0,-1.916666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
865.0,902,0.0,0.0,8.0,-3.0,6.0,0.0,3.0,179,0.0,8.0,14.0,17.0,17.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,7.5,1.0,0,-1.916666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
858.0,122,1.0,0.0,14.0,-5.0,6.0,0.0,0.0,182,5.0,14.0,20.0,25.0,25.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,300.0,0.0,0,2.0808260289237435,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
840.0,902,0.0,0.0,13.0,-4.0,6.0,0.0,4.0,182,0.0,13.0,19.0,23.0,23.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,300.0,0.0,0,2.0808260289237435,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
922.0,122,1.0,0.0,10.0,-5.0,6.0,0.0,0.0,183,5.0,10.0,16.0,21.0,21.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,7.5,0.0,0,0.4390828507055774,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
902.0,902,0.0,0.0,10.0,-3.0,6.0,0.0,3.0,183,0.0,10.0,16.0,19.0,19.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,7.5,0.0,0,0.4390828507055774,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
908.0,122,1.0,0.0,4.0,-4.0,6.0,0.0,0.0,184,4.0,4.0,10.0,14.0,14.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,21.0,7.5,0.0,0,-0.17877890602670363,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
