realDep,routes,match,nTrans,wk,iv,wt,nwk,tiv,id,ntiv,aux,ov,tt,cost,tway,matchiv,matchaux,compProp,PS
1112,902_901,1,1,9.2,46,9.8,0,46,177381,0,9.2,19.0,65.0,75.0,1,46,9.2,1.0,0.030196
1116,902_54,0,1,22.82,40,10.18,0,14,177381,26,22.82,33.0,73.0,83.0,1,46,9.2,1.1066666666666667,0.0
1101,67_901,0,1,16.32,48,11.68,0,18,177381,30,16.32,28.0,76.0,86.0,1,46,9.2,1.1466666666666667,4e-06
1080,722_5,1,1,4.52,51,15.48,0,0,177383,51,4.52,20.0,71.0,81.0,0,51,4.52,1.0,0.011951
1080,722_22_923,0,2,5.6,45,12.4,0,2,177383,43,5.6,18.0,63.0,83.0,1,51,4.52,1.0246913580246915,0.015411
1150,67,0,0,6.0,11,11.0,0,0,177388,11,6.0,17.0,28.0,28.0,0,12,11.0,1.0,0.000224
1170,902,1,0,11.0,12,6.0,0,12,177388,0,11.0,17.0,29.0,29.0,1,12,11.0,1.0357142857142858,0.183091
1158,902_67,0,1,1.18,10,8.82,0,8,177388,2,1.18,10.0,20.0,30.0,1,12,11.0,1.0714285714285714,0.156945
1146,902_3,0,1,1.18,10,9.82,0,8,177388,2,1.18,11.0,21.0,31.0,1,12,11.0,1.1071428571428572,0.156945
1113,923,1,0,14.0,11,5.0,0,11,177392,0,14.0,19.0,30.0,30.0,1,11,14.0,1.0,0.000104
1108,5,0,0,2.0,16,13.0,0,0,177392,16,2.0,15.0,31.0,31.0,0,11,14.0,1.0333333333333334,0.0
1153,923,1,0,4.0,18,6.0,0,18,177393,0,4.0,10.0,28.0,28.0,1,18,4.0,1.0,0.069315
1162,5_923,0,1,2.4,20,7.6,0,19,177393,1,2.4,10.0,30.0,40.0,1,18,4.0,1.4285714285714286,0.053318
1115,902,1,0,7.0,21,6.0,0,21,177412,0,7.0,13.0,34.0,34.0,1,21,7.0,1.0,0.077009
1127,21_902,0,1,5.96,23,8.04,0,19,177412,4,5.96,14.0,37.0,47.0,1,21,7.0,1.3823529411764706,0.053066
1134,21,0,0,12.0,14,7.0,0,0,177417,14,12.0,19.0,33.0,33.0,0,14,18.0,1.0,0.0
1106,902,1,0,18.0,14,6.0,0,14,177417,0,18.0,24.0,38.0,38.0,1,14,18.0,1.1515151515151516,0.0
1106,21_94,0,1,10.26,9,11.74,0,0,177417,9,10.26,22.0,31.0,41.0,0,14,18.0,1.2424242424242424,0.0
1161,901,0,0,8.0,5,6.0,0,5,177421,0,8.0,14.0,19.0,19.0,1,6,14.0,1.0,0.05686
1172,22,0,0,4.0,12,9.0,0,0,177421,12,4.0,13.0,25.0,25.0,0,6,14.0,1.3157894736842106,0.0
1150,902,1,0,14.0,6,6.0,0,6,177421,0,14.0,20.0,26.0,26.0,1,6,14.0,1.368421052631579,0.13996
1137,902,1,0,5.0,10,6.0,0,10,177423,0,5.0,11.0,21.0,21.0,1,10,5.0,1.0,0.0
1136,465,0,0,11.0,11,9.0,0,0,177423,11,11.0,20.0,31.0,31.0,0,10,5.0,1.4761904761904763,0.0
1140,5,1,0,7.0,47,8.0,0,0,177424,47,7.0,15.0,62.0,62.0,0,47,7.0,1.0,5e-06
1146,923_5,0,1,7.0,42,7.0,0,32,177424,10,7.0,14.0,56.0,66.0,1,47,7.0,1.064516129032258,0.001106
1159,22_5,0,1,5.0,49,10.0,0,0,177424,49,5.0,15.0,64.0,74.0,0,47,7.0,1.1935483870967742,0.0
1118,902,1,0,20.0,24,6.0,0,24,177427,0,20.0,26.0,50.0,50.0,1,24,20.0,1.0,0.0
1134,3,0,0,13.0,27,11.0,0,0,177427,27,13.0,24.0,51.0,51.0,0,24,20.0,1.02,0.020387
1100,62_3,0,1,14.0,28,12.0,0,0,177427,28,14.0,26.0,54.0,64.0,0,24,20.0,1.28,0.021004
1147,901,0,0,29.0,13,6.0,0,13,177428,0,29.0,35.0,48.0,48.0,1,13,29.0,1.0,0.198042
1161,747_901,0,1,18.14,19,11.86,0,12,177428,7,18.14,30.0,49.0,59.0,1,13,29.0,1.2291666666666667,0.000631
1146,11_901,0,1,20.68,19,9.32,0,13,177428,6,20.68,30.0,49.0,59.0,1,13,29.0,1.2291666666666667,0.010496
1160,902_901,1,1,29.0,13,8.0,0,13,177428,0,29.0,37.0,50.0,60.0,1,13,29.0,1.25,0.198042
1183,5,1,0,9.0,20,8.0,0,0,177438,20,9.0,17.0,37.0,37.0,0,20,9.0,1.0,0.030137
1175,11,0,0,8.0,21,9.0,0,0,177438,21,8.0,17.0,38.0,38.0,0,20,9.0,1.027027027027027,0.0
1185,923_5,0,1,9.0,17,9.0,0,4,177438,13,9.0,18.0,35.0,45.0,1,20,9.0,1.2162162162162162,0.033007
1146,902,1,0,17.0,20,6.0,0,20,177446,0,17.0,23.0,43.0,43.0,1,20,17.0,1.0,0.0
1156,3,0,0,16.0,27,11.0,0,0,177446,27,16.0,27.0,54.0,54.0,0,20,17.0,1.255813953488372,0.0
1195,21,0,0,5.0,15,7.0,0,0,177449,15,5.0,12.0,27.0,27.0,0,14,14.0,1.0,0.0
1215,902,1,0,14.0,14,6.0,0,14,177449,0,14.0,20.0,34.0,34.0,1,14,14.0,1.2592592592592593,0.0
1141,923,1,0,7.0,12,4.0,0,12,177454,0,7.0,11.0,23.0,23.0,1,12,7.0,1.0,0.000106
1155,14,0,0,1.0,20,13.0,0,0,177454,20,1.0,14.0,34.0,34.0,0,12,7.0,1.4782608695652173,0.0
1151,902,1,0,6.0,23,6.0,0,23,177459,0,6.0,12.0,35.0,35.0,1,23,6.0,1.0,0.091551
1138,18_902,0,1,3.68,26,6.32,0,23,177459,3,3.68,10.0,36.0,46.0,1,23,6.0,1.3142857142857143,0.078472
1147,901_902,0,1,6.0,23,10.0,0,23,177459,0,6.0,16.0,39.0,49.0,1,23,6.0,1.4,0.091551
1144,923,1,0,17.0,2,4.0,0,2,177486,0,17.0,21.0,23.0,23.0,1,2,17.0,1.0,0.274653
1148,5,0,0,17.0,2,5.0,0,0,177486,2,17.0,22.0,24.0,24.0,0,2,17.0,1.0434782608695652,0.391876
1165,22,0,0,10.0,4,13.0,0,0,177486,4,10.0,23.0,27.0,27.0,0,2,17.0,1.173913043478261,0.0
1136,717,0,0,16.0,1,13.0,0,0,177486,1,16.0,29.0,30.0,30.0,0,2,17.0,1.3043478260869565,0.391876
1139,724,0,0,22.0,1,11.0,0,0,177486,1,22.0,33.0,34.0,34.0,0,2,17.0,1.4782608695652173,0.0
1207,923,1,0,10.0,16,6.0,5,16,177503,0,15.0,21.0,37.0,37.0,1,16,15.0,1.0,0.0
1231,14,0,0,3.0,23,13.0,6,0,177503,23,9.0,22.0,45.0,45.0,0,16,15.0,1.2162162162162162,0.0
1211,5,0,0,8.0,22,11.0,5,0,177503,22,13.0,24.0,46.0,46.0,0,16,15.0,1.2432432432432432,0.0
1192,22,0,0,8.0,22,13.0,5,0,177503,22,13.0,26.0,48.0,48.0,0,16,15.0,1.2972972972972974,0.0
1240,852,0,0,7.0,13,13.0,2,0,177511,13,9.0,22.0,35.0,35.0,0,20,14.0,1.0,0.0
1234,923,1,0,10.0,20,6.0,4,20,177511,0,14.0,20.0,40.0,40.0,1,20,14.0,1.1428571428571428,0.0
1195,923,1,0,29.0,4,6.0,0,4,177519,0,29.0,35.0,39.0,39.0,1,4,29.0,1.0,0.0
1199,7,0,0,26.0,4,11.0,0,0,177519,4,26.0,37.0,41.0,41.0,0,4,29.0,1.0512820512820513,0.0
1199,923_5,0,1,15.48,10,6.52,0,5,177519,5,15.48,22.0,32.0,42.0,1,4,29.0,1.0769230769230769,0.0
1201,902,1,0,9.0,21,6.0,0,21,177524,0,9.0,15.0,36.0,36.0,1,21,9.0,1.0,0.063013
1203,10_902,0,1,2.88,24,7.12,0,21,177524,3,2.88,10.0,34.0,44.0,1,21,9.0,1.2222222222222223,0.049511
1265,902,1,0,9.0,12,6.0,0,12,177531,0,9.0,15.0,27.0,27.0,1,12,9.0,1.0,0.0
1272,6,0,0,7.0,17,11.0,0,0,177531,17,7.0,18.0,35.0,35.0,0,12,9.0,1.2962962962962963,0.0
1260,2_7,0,1,6.4,12,8.6,0,0,177531,12,6.4,15.0,27.0,37.0,0,12,9.0,1.3703703703703705,0.04953
1276,122_3,0,1,11.0,10,7.0,0,0,177531,10,11.0,18.0,28.0,38.0,0,12,9.0,1.4074074074074074,0.049781
306,27_901,0,1,9.84,22,10.16,0,15,177545,7,9.84,20.0,42.0,52.0,1,22,6.3,1.0,0.002556
334,21_901,1,1,6.3,22,15.7,0,15,177545,7,6.3,22.0,44.0,54.0,1,22,6.3,1.0384615384615385,0.043322
352,5_21_901,0,2,3.02,24,13.98,0,15,177545,9,3.02,17.0,41.0,61.0,1,22,6.3,1.1730769230769231,0.003561
304,14_27_901,0,2,21.34,16,7.66,0,10,177545,6,21.34,29.0,45.0,65.0,1,22,6.3,1.25,0.00406
365,923,0,0,16.0,6,6.0,0,6,177555,0,16.0,22.0,28.0,28.0,1,13,14.0,1.0,0.0
389,14,1,0,14.0,13,13.0,0,0,177555,13,14.0,27.0,40.0,40.0,0,13,14.0,1.4285714285714286,0.0
395,21_902,0,1,13.16,31,11.84,0,8,177557,23,13.16,25.0,56.0,66.0,1,35,26.0,1.0,0.019804
366,21,1,0,26.0,35,6.0,0,0,177557,35,26.0,32.0,67.0,67.0,0,35,26.0,1.0151515151515151,0.013858
357,901_902,0,1,20.2,34,9.8,0,34,177557,0,20.2,30.0,64.0,74.0,1,35,26.0,1.121212121212121,0.036481
364,63,0,0,20.0,33,6.0,0,0,177573,33,20.0,26.0,59.0,59.0,0,40,11.0,1.0,0.030509
397,921_63,0,1,14.38,35,6.62,0,2,177573,33,14.38,21.0,56.0,66.0,1,40,11.0,1.11864406779661,0.029685
