tuneID,tunegroup,updates,nclass,maxnorm,niter,nnodes,nepoch,lrate,l2,rho0,rho4,rhomax,rhopmean,membership,desired,successprop,postestrho,testrhodes
383,18,,2,1.0,200,64,300,0.04,0.1,200.0,0.0,0.37524660256332865,0.2615334353697532,0.0,0.0,0.0,200.0,
384,18,,2,1.0,200,128,300,0.04,0.002,199.0,88.0,0.7667000106132548,0.3902391000804754,101.0,0.0,0.0,170.0,
385,18,,2,1.0,200,128,300,0.04,0.005,200.0,99.0,0.6240359689911326,0.3952637837654197,117.0,0.0,0.0,187.0,
386,18,,2,1.0,200,128,300,0.04,0.1,200.0,0.0,0.37525115487241567,0.2814958347791775,0.0,0.0,0.0,200.0,
387,18,,2,1.0,200,64,500,0.04,0.002,200.0,172.0,0.7423509175416266,0.503380663060543,168.0,0.0,0.0,125.0,
388,18,,2,1.0,200,64,500,0.04,0.005,200.0,124.0,0.642137189899613,0.44557062617516024,159.0,0.0,0.0,190.0,
389,18,,2,1.0,200,64,500,0.04,0.1,200.0,0.0,0.37525443946792914,0.2624858151908136,0.0,0.0,0.0,200.0,
390,18,,2,1.0,200,128,500,0.04,0.002,199.0,96.0,0.7480361369076408,0.42187172852576,103.0,0.0,0.0,159.0,
391,18,,2,1.0,200,128,500,0.04,0.005,199.0,126.0,0.6815742905438011,0.43495189289437486,142.0,0.0,0.0,187.0,
392,18,,2,1.0,200,128,500,0.04,0.1,200.0,0.0,0.37525406515101345,0.26152263458303265,0.0,0.0,0.0,200.0,
393,18,,2,10.0,200,64,300,0.04,0.002,200.0,134.0,0.6607348202428538,0.45111449796109504,142.0,0.0,0.0,171.0,
394,18,,2,10.0,200,64,300,0.04,0.005,200.0,103.0,0.5906556964222516,0.40184922118204086,124.0,0.0,0.0,194.0,
395,18,,2,10.0,200,64,300,0.04,0.1,200.0,0.0,0.3752418323283552,0.2610973015757195,0.0,0.0,0.0,200.0,
396,18,,2,10.0,200,128,300,0.04,0.002,199.0,71.0,0.6686937912740414,0.36380780617158054,84.0,0.0,0.0,170.0,
397,18,,2,10.0,200,128,300,0.04,0.005,200.0,96.0,0.6491930285849732,0.38974253544040804,106.0,0.0,0.0,192.0,
398,18,,2,10.0,200,128,300,0.04,0.1,198.0,0.0,0.3752075654659064,0.26333578378589384,0.0,0.0,0.0,199.0,
399,18,,2,10.0,200,64,500,0.04,0.002,200.0,127.0,0.7011684828309797,0.4581989793016312,142.0,0.0,0.0,157.0,
400,18,,2,10.0,200,64,500,0.04,0.005,200.0,115.0,0.5987359982747515,0.42613472078834136,142.0,0.0,0.0,193.0,
401,18,,2,10.0,200,64,500,0.04,0.1,200.0,0.0,0.37525439207558975,0.27177284819828096,0.0,0.0,0.0,200.0,
402,18,,2,10.0,200,128,500,0.04,0.002,200.0,82.0,0.7292801938660491,0.3967040113348701,87.0,0.0,0.0,170.0,
403,18,,2,10.0,200,128,500,0.04,0.005,200.0,96.0,0.6614385637448389,0.40354512911552093,115.0,0.0,0.0,175.0,
404,18,,2,10.0,200,128,500,0.04,0.1,200.0,0.0,0.37525480458259153,0.2521338563745738,0.0,0.0,0.0,200.0,
405,18,,2,99.0,200,64,300,0.04,0.002,200.0,127.0,0.6672785906730294,0.4393979495995514,142.0,0.0,0.0,163.0,
406,18,,2,99.0,200,64,300,0.04,0.005,198.0,100.0,0.5718997932421869,0.3874102425433966,129.0,0.0,0.0,187.0,
407,18,,2,99.0,200,64,300,0.04,0.1,200.0,0.0,0.375157366173942,0.27149260065958897,0.0,0.0,0.0,200.0,
408,18,,2,99.0,200,128,300,0.04,0.002,200.0,75.0,0.742954614853905,0.3802518570681112,87.0,0.0,0.0,168.0,
409,18,,2,99.0,200,128,300,0.04,0.005,200.0,78.0,0.6579933743750099,0.38489353163454865,104.0,0.0,0.0,188.0,
410,18,,2,99.0,200,128,300,0.04,0.1,199.0,0.0,0.37523278293824935,0.2539439014970631,0.0,0.0,0.0,200.0,
411,18,,2,99.0,200,64,500,0.04,0.002,199.0,140.0,0.7300983581804447,0.47275983061364446,146.0,0.0,0.0,154.0,
412,18,,2,99.0,200,64,500,0.04,0.005,200.0,116.0,0.628912963472383,0.42353653306085726,141.0,0.0,0.0,192.0,
413,18,,2,99.0,200,64,500,0.04,0.1,200.0,0.0,0.37525436873977813,0.27192445932362824,0.0,0.0,0.0,200.0,
414,18,,2,99.0,200,128,500,0.04,0.002,200.0,95.0,0.6987877186640143,0.4093628619979758,101.0,0.0,0.0,160.0,
415,18,,2,99.0,200,128,500,0.04,0.005,199.0,89.0,0.6398700077927608,0.40332674172710464,105.0,0.0,0.0,185.0,
416,18,,2,99.0,200,128,500,0.04,0.1,200.0,0.0,0.3752547953920431,0.25829555282415034,0.0,0.0,0.0,200.0,
